dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,liked
6, 17:00:00,24,13,0,0,1,1
2, 13:00:00,19,11,0,0,1,0
6, 07:00:00,38,13,1,1,1,0
5, 19:00:00,27,14,0,1,1,1
0, 03:00:00,33,19,0,0,1,0
2, 07:00:00,28,40,0,0,0,0
6, 00:00:00,53,16,0,0,1,0
1, 20:00:00,27,43,0,0,1,0
2, 21:00:00,30,6,0,0,1,0
2, 17:00:00,24,27,0,0,1,1
4, 22:00:00,44,56,1,1,0,0
0, 00:00:00,33,31,0,1,1,0
4, 09:00:00,22,33,0,0,0,1
6, 02:00:00,49,12,0,1,0,0
4, 14:00:00,42,29,1,0,1,0
4, 01:00:00,29,32,0,0,1,1
2, 04:00:00,26,30,0,0,1,1
5, 23:00:00,39,12,0,0,0,1
2, 17:00:00,19,12,0,1,0,0
1, 13:00:00,58,13,0,0,0,1
3, 23:00:00,36,2,0,0,1,1
1, 13:00:00,19,6,0,0,0,0
4, 17:00:00,33,5,1,1,0,0
4, 15:00:00,46,27,0,0,1,0
3, 04:00:00,38,30,0,0,1,0
6, 22:00:00,21,11,0,0,1,0
5, 21:00:00,28,36,0,0,1,0
3, 00:00:00,25,9,0,0,0,0
6, 19:00:00,20,24,0,0,0,0
1, 18:00:00,21,44,0,0,1,0
0, 18:00:00,24,27,0,0,1,0
4, 00:00:00,19,92,0,0,1,0
4, 14:00:00,30,17,0,0,1,0
1, 21:00:00,17,9,0,0,1,0
1, 01:00:00,47,8,0,0,0,0
4, 16:00:00,23,20,0,0,1,0
5, 23:00:00,38,22,0,0,0,0
0, 01:00:00,37,23,0,0,1,0
1, 03:00:00,18,16,0,0,1,0
4, 10:00:00,39,12,0,0,1,0
5, 06:00:00,20,20,0,0,1,0
0, 13:00:00,19,23,0,0,0,0
1, 17:00:00,24,9,0,0,1,0
6, 02:00:00,20,26,0,0,0,0
6, 08:00:00,41,59,0,0,1,1
5, 11:00:00,60,10,0,0,1,1
5, 20:00:00,21,31,0,0,1,0
5, 17:00:00,40,51,0,0,0,0
1, 07:00:00,24,26,0,0,1,1
0, 15:00:00,60,6,0,0,0,1
1, 06:00:00,27,6,0,0,0,0
1, 18:00:00,22,8,0,0,1,0
0, 21:00:00,20,27,0,0,0,0
1, 22:00:00,26,57,0,0,0,0
5, 16:00:00,23,3,0,0,0,0
6, 16:00:00,24,22,0,1,1,0
0, 20:00:00,28,16,0,0,1,0
0, 17:00:00,29,15,0,1,0,0
4, 21:00:00,32,13,0,0,0,0
6, 07:00:00,23,27,0,0,1,0
2, 08:00:00,21,22,1,0,1,1
2, 20:00:00,18,36,0,0,1,0
5, 01:00:00,26,70,0,0,1,0
0, 22:00:00,43,58,1,0,1,0
6, 02:00:00,37,9,0,0,0,1
1, 10:00:00,28,15,0,0,1,1
2, 20:00:00,21,13,0,1,0,0
0, 10:00:00,31,24,0,0,1,1
0, 15:00:00,46,6,0,0,0,0
6, 04:00:00,45,4,0,1,0,0
6, 20:00:00,29,1,1,0,1,1
5, 07:00:00,44,16,0,0,1,0
6, 16:00:00,40,13,0,1,0,1
3, 06:00:00,27,23,0,0,0,0
4, 14:00:00,50,16,1,0,1,0
2, 04:00:00,19,15,0,1,1,0
5, 00:00:00,23,34,0,0,1,0
6, 17:00:00,40,2,0,0,0,0
1, 22:00:00,38,66,0,1,0,0
0, 18:00:00,23,25,0,0,1,0
1, 16:00:00,19,24,0,0,0,0
4, 20:00:00,52,11,0,0,1,0
2, 22:00:00,29,6,0,0,1,0
1, 18:00:00,24,21,0,0,1,0
1, 19:00:00,20,19,0,0,0,0
5, 18:00:00,24,46,0,0,1,0
4, 19:00:00,56,6,0,0,0,0
2, 07:00:00,23,27,0,0,1,0
1, 22:00:00,21,19,0,1,0,0
0, 00:00:00,24,28,0,0,1,0
1, 15:00:00,48,55,0,0,1,1
6, 09:00:00,18,11,0,0,0,0
1, 13:00:00,42,13,0,0,0,0
6, 10:00:00,31,4,0,0,1,0
6, 19:00:00,22,8,0,0,0,0
5, 00:00:00,21,23,0,0,0,1
6, 19:00:00,19,17,0,0,1,0
4, 02:00:00,31,12,0,0,1,0
6, 14:00:00,38,40,0,0,1,0
1, 14:00:00,57,25,0,1,0,0
0, 03:00:00,22,22,0,1,1,0
0, 11:00:00,23,13,0,0,1,0
1, 14:00:00,26,4,0,0,1,1
1, 06:00:00,23,5,0,0,0,0
5, 03:00:00,47,10,0,0,0,0
2, 16:00:00,60,24,0,0,0,0
4, 01:00:00,30,61,1,0,0,0
3, 13:00:00,53,24,0,0,1,0
6, 19:00:00,25,25,0,0,1,0
5, 23:00:00,39,75,0,1,1,0
6, 22:00:00,24,55,1,0,1,1
0, 17:00:00,33,12,0,0,1,0
4, 14:00:00,39,28,0,0,0,0
6, 04:00:00,21,10,0,0,1,0
5, 21:00:00,49,9,1,0,1,0
1, 20:00:00,34,39,0,0,1,0
5, 01:00:00,37,34,0,1,0,0
3, 00:00:00,24,10,0,0,0,0
6, 04:00:00,19,50,0,0,1,0
3, 10:00:00,33,1,0,0,1,0
1, 13:00:00,36,5,0,0,0,0
3, 03:00:00,42,46,0,0,0,0
5, 07:00:00,22,23,0,0,1,0
0, 16:00:00,62,44,0,0,0,0
1, 20:00:00,18,9,0,0,0,0
0, 17:00:00,27,42,0,0,1,1
2, 18:00:00,40,26,1,1,1,0
4, 10:00:00,47,9,0,0,0,0
0, 21:00:00,24,16,0,0,1,0
6, 18:00:00,63,19,0,0,1,0
3, 06:00:00,21,10,0,0,0,1
1, 17:00:00,37,13,0,0,1,0
4, 02:00:00,39,20,0,0,1,0
0, 01:00:00,41,19,0,0,0,1
4, 02:00:00,28,10,0,0,1,1
4, 02:00:00,41,36,0,0,0,0
1, 18:00:00,45,10,0,1,0,0
5, 06:00:00,32,22,0,1,1,0
2, 18:00:00,32,27,1,1,1,0
1, 01:00:00,31,14,0,0,1,0
3, 16:00:00,29,37,1,1,1,0
1, 13:00:00,49,2,0,0,0,0
4, 04:00:00,34,8,0,0,0,1
4, 04:00:00,16,22,0,0,1,0
4, 13:00:00,45,7,0,0,0,0
2, 21:00:00,21,7,0,1,0,0
6, 21:00:00,21,34,0,0,1,0
0, 23:00:00,29,25,0,0,1,0
2, 19:00:00,19,34,0,0,1,0
4, 20:00:00,25,3,0,1,0,1
0, 04:00:00,22,46,0,0,1,0
4, 20:00:00,28,40,0,0,1,0
4, 10:00:00,20,33,0,1,1,0
4, 04:00:00,19,16,0,0,1,0
5, 09:00:00,38,16,0,0,1,1
5, 23:00:00,33,22,0,0,1,0
1, 16:00:00,19,31,0,0,1,0
0, 19:00:00,24,14,1,1,1,0
2, 18:00:00,29,4,0,0,0,0
5, 19:00:00,41,34,0,1,1,0
3, 12:00:00,53,4,0,0,0,1
1, 00:00:00,50,7,0,1,0,0
2, 16:00:00,41,50,1,1,1,0
3, 17:00:00,31,36,0,1,0,0
5, 15:00:00,28,12,0,1,0,0
6, 14:00:00,21,42,0,0,1,0
5, 13:00:00,26,4,0,0,0,0
6, 06:00:00,25,16,0,0,0,1
5, 23:00:00,48,47,0,1,0,0
3, 23:00:00,53,13,0,0,1,0
6, 22:00:00,28,15,0,0,1,1
6, 16:00:00,28,8,0,0,1,0
0, 11:00:00,31,25,0,0,1,0
3, 03:00:00,18,33,0,1,1,0
3, 22:00:00,42,66,0,0,1,0
1, 07:00:00,24,22,0,0,1,0
1, 18:00:00,22,45,1,1,0,0
1, 10:00:00,43,17,0,0,1,1
1, 21:00:00,50,14,0,0,1,1
6, 23:00:00,46,16,0,0,0,0
3, 18:00:00,39,34,1,0,1,0
0, 23:00:00,41,44,0,0,0,0
5, 17:00:00,49,13,0,0,1,0
6, 10:00:00,25,16,0,0,1,0
3, 13:00:00,45,21,0,1,0,0
2, 16:00:00,24,29,0,0,0,0
5, 16:00:00,33,11,1,0,1,0
4, 11:00:00,50,3,0,0,1,1
6, 03:00:00,29,6,0,0,0,0
4, 15:00:00,24,44,1,0,1,0
4, 18:00:00,47,18,0,1,0,0
3, 10:00:00,26,10,0,1,1,0
5, 23:00:00,44,9,0,1,1,0
3, 06:00:00,24,5,0,0,1,1
6, 22:00:00,16,29,0,0,1,0
1, 17:00:00,54,20,0,1,0,0
6, 21:00:00,34,13,0,1,0,0
0, 09:00:00,28,15,1,0,1,0
4, 04:00:00,43,24,0,0,1,0
4, 11:00:00,24,31,0,0,1,0
2, 11:00:00,18,36,0,0,1,0
1, 03:00:00,36,37,1,0,0,0
5, 09:00:00,48,36,0,0,0,0
0, 19:00:00,28,27,0,0,1,0
6, 03:00:00,21,8,0,0,0,0
2, 21:00:00,25,7,0,1,1,1
0, 11:00:00,30,20,0,0,1,0
0, 21:00:00,29,9,0,0,0,0
6, 16:00:00,23,22,0,0,1,0
4, 19:00:00,50,4,0,0,1,0
4, 16:00:00,33,10,0,0,0,0
5, 23:00:00,58,12,0,0,0,1
6, 18:00:00,37,22,0,0,1,0
3, 03:00:00,40,22,0,0,0,0
1, 19:00:00,25,5,0,1,0,0
5, 17:00:00,24,15,0,0,0,0
5, 17:00:00,28,7,0,0,0,1
3, 15:00:00,58,1,0,0,0,0
4, 02:00:00,32,5,0,0,1,0
3, 19:00:00,70,19,0,0,1,0
5, 03:00:00,30,27,0,0,1,0
4, 19:00:00,20,24,0,0,0,0
0, 00:00:00,26,15,0,1,0,1
0, 12:00:00,29,31,0,0,1,0
6, 08:00:00,20,46,0,0,1,0
4, 16:00:00,45,2,0,0,1,0
0, 05:00:00,22,20,0,1,1,0
6, 00:00:00,56,17,1,0,1,1
0, 22:00:00,57,8,0,0,0,0
0, 16:00:00,25,32,0,0,1,0
6, 18:00:00,33,7,0,0,0,0
4, 04:00:00,25,47,1,0,1,0
0, 09:00:00,19,7,0,0,0,0
1, 15:00:00,42,6,0,0,0,1
1, 02:00:00,34,13,0,0,1,0
6, 01:00:00,18,27,0,0,1,1
3, 13:00:00,21,10,0,0,0,0
0, 18:00:00,30,40,0,0,0,0
6, 04:00:00,29,16,0,0,0,0
3, 17:00:00,30,9,0,0,0,1
5, 05:00:00,25,1,0,0,1,0
3, 14:00:00,31,26,0,0,0,0
4, 20:00:00,42,16,0,0,1,1
0, 12:00:00,45,23,0,0,0,0
5, 03:00:00,24,55,0,0,0,0
2, 18:00:00,26,31,0,0,1,1
0, 19:00:00,40,20,0,0,0,0
3, 17:00:00,33,1,0,1,1,0
3, 10:00:00,24,11,0,0,0,1
4, 22:00:00,24,19,0,1,0,0
0, 09:00:00,21,29,0,0,1,1
6, 04:00:00,38,19,0,0,1,0
6, 19:00:00,27,8,0,0,0,0
6, 02:00:00,33,18,0,0,0,0
4, 21:00:00,28,49,0,0,1,0
4, 23:00:00,30,37,0,0,1,0
6, 18:00:00,40,8,0,0,1,0
4, 04:00:00,34,34,0,0,0,0
5, 03:00:00,21,4,0,0,0,0
5, 19:00:00,27,11,0,0,0,1
4, 18:00:00,24,5,0,0,0,0
0, 05:00:00,25,16,1,1,1,0
1, 21:00:00,32,6,0,1,0,0
2, 04:00:00,28,2,0,1,0,0
0, 12:00:00,27,6,0,0,0,1
6, 14:00:00,47,4,0,0,0,0
6, 21:00:00,31,29,0,1,1,0
1, 23:00:00,43,8,0,0,1,0
4, 22:00:00,38,36,0,0,1,0
4, 00:00:00,52,17,0,0,1,0
2, 02:00:00,30,5,0,0,1,0
0, 21:00:00,33,14,1,0,0,1
2, 15:00:00,41,9,0,0,0,1
3, 05:00:00,53,20,0,0,1,0
3, 22:00:00,21,71,0,0,1,0
6, 07:00:00,20,23,0,1,1,1
4, 06:00:00,20,23,0,0,1,0
6, 22:00:00,51,29,0,1,0,1
3, 14:00:00,49,5,0,0,0,0
4, 11:00:00,22,17,0,0,1,0
1, 05:00:00,34,40,0,0,1,1
5, 14:00:00,51,16,0,0,1,0
6, 15:00:00,42,10,0,1,1,0
1, 06:00:00,32,17,0,0,0,0
1, 22:00:00,38,1,0,0,0,1
0, 17:00:00,27,25,0,0,1,1
5, 00:00:00,24,41,0,0,1,0
5, 14:00:00,35,18,0,0,1,0
2, 15:00:00,30,28,0,0,1,0
6, 17:00:00,25,9,0,0,1,0
4, 18:00:00,42,9,0,0,1,0
6, 21:00:00,25,43,0,0,1,0
4, 03:00:00,33,50,0,0,1,0
0, 15:00:00,34,48,0,1,0,0
5, 04:00:00,19,3,0,0,1,0
3, 16:00:00,40,8,0,0,1,0
6, 18:00:00,21,6,1,0,1,0
1, 18:00:00,25,33,0,0,1,0
5, 16:00:00,32,78,0,0,1,0
5, 03:00:00,24,31,0,0,0,0
0, 00:00:00,19,37,0,0,1,0
2, 20:00:00,22,50,0,0,0,0
0, 04:00:00,50,7,0,1,0,0
4, 08:00:00,27,2,0,0,0,0
3, 00:00:00,32,5,0,0,1,1
3, 01:00:00,21,17,1,1,1,0
5, 06:00:00,20,34,0,1,1,0
0, 19:00:00,21,23,0,1,1,0
3, 14:00:00,22,31,0,0,1,0
5, 00:00:00,41,23,0,0,1,0
3, 19:00:00,39,6,0,0,0,0
6, 22:00:00,33,18,0,1,0,0
1, 00:00:00,17,13,1,0,0,1
1, 06:00:00,30,29,1,0,1,1
4, 00:00:00,27,28,0,0,1,0
1, 05:00:00,35,17,0,0,1,0
1, 01:00:00,21,6,0,0,0,0
3, 20:00:00,23,5,0,0,1,0
2, 16:00:00,54,47,0,1,1,0
5, 21:00:00,29,8,0,0,1,0
1, 21:00:00,25,45,0,0,1,1
5, 14:00:00,47,31,0,0,1,0
6, 17:00:00,24,21,0,0,0,0
0, 21:00:00,53,18,0,0,1,0
2, 14:00:00,37,16,1,1,0,0
4, 12:00:00,24,16,0,0,1,0
1, 20:00:00,38,16,0,1,0,0
4, 15:00:00,25,4,0,1,0,1
6, 23:00:00,44,8,0,1,1,0
5, 21:00:00,21,22,0,0,1,0
0, 07:00:00,62,37,1,0,0,1
0, 15:00:00,19,23,0,0,1,0
6, 23:00:00,19,17,0,0,1,0
5, 02:00:00,28,10,0,1,1,0
3, 14:00:00,19,30,0,1,1,1
5, 00:00:00,19,23,0,0,1,1
6, 08:00:00,28,7,0,0,0,0
5, 17:00:00,22,9,0,0,0,0
2, 20:00:00,30,27,0,1,0,0
2, 18:00:00,48,13,0,1,1,0
3, 20:00:00,30,34,0,0,1,0
6, 17:00:00,27,27,1,1,0,0
5, 23:00:00,25,36,0,0,0,0
0, 03:00:00,33,6,0,0,0,1
2, 15:00:00,26,16,0,1,1,0
1, 19:00:00,24,2,0,0,1,0
6, 00:00:00,28,8,0,0,1,1
0, 17:00:00,69,13,0,0,1,0
2, 18:00:00,21,23,0,0,1,0
1, 13:00:00,22,3,0,0,1,0
0, 10:00:00,51,20,0,0,1,1
3, 01:00:00,29,85,0,0,0,0
6, 01:00:00,21,3,0,0,0,0
0, 20:00:00,28,62,0,0,1,1
3, 19:00:00,23,7,0,0,1,0
5, 02:00:00,28,12,0,1,0,1
6, 00:00:00,34,28,1,0,1,0
6, 08:00:00,26,10,0,1,1,0
6, 07:00:00,26,5,0,0,1,0
0, 10:00:00,30,1,0,0,1,0
0, 16:00:00,29,53,0,1,0,0
5, 21:00:00,25,35,0,0,1,0
0, 07:00:00,29,14,0,0,0,0
5, 15:00:00,20,25,0,0,0,0
5, 22:00:00,19,17,0,0,1,1
1, 02:00:00,24,9,1,0,1,1
1, 16:00:00,47,7,0,0,0,1
6, 21:00:00,19,7,0,0,0,0
5, 23:00:00,22,21,0,0,1,0
1, 02:00:00,42,7,0,0,0,0
0, 03:00:00,55,12,0,0,1,0
6, 03:00:00,40,30,0,0,1,0
2, 09:00:00,25,26,1,1,0,0
5, 04:00:00,28,54,0,0,0,0
5, 20:00:00,57,38,0,0,1,0
1, 14:00:00,25,25,0,0,0,1
6, 14:00:00,37,13,0,0,1,0
4, 22:00:00,48,49,0,0,1,0
5, 22:00:00,28,13,0,0,1,0
6, 02:00:00,25,24,0,0,1,0
1, 02:00:00,19,36,0,0,1,0
5, 13:00:00,20,6,0,0,0,1
4, 16:00:00,28,5,0,0,0,0
4, 18:00:00,53,11,0,0,1,0
5, 12:00:00,25,24,0,0,1,0
0, 00:00:00,25,9,0,0,1,0
5, 17:00:00,24,8,1,0,1,0
4, 17:00:00,19,4,0,0,1,0
4, 19:00:00,22,48,0,0,0,1
5, 02:00:00,17,7,0,0,0,0
6, 03:00:00,20,28,0,0,1,0
4, 15:00:00,52,29,0,1,1,0
3, 21:00:00,26,4,1,0,1,0
0, 17:00:00,33,29,1,0,0,0
4, 05:00:00,33,13,0,0,0,0
0, 22:00:00,26,19,0,0,1,0
4, 15:00:00,37,11,0,0,1,0
6, 20:00:00,44,37,0,0,0,0
6, 06:00:00,25,70,1,0,1,0
5, 19:00:00,24,10,0,0,0,1
4, 12:00:00,20,21,0,0,1,0
6, 03:00:00,48,22,0,0,1,0
6, 20:00:00,45,15,0,0,1,0
2, 13:00:00,46,8,0,0,1,1
1, 14:00:00,25,27,0,0,0,1
1, 22:00:00,28,22,0,0,1,0
3, 14:00:00,23,11,1,0,1,0
0, 00:00:00,17,22,0,1,1,0
1, 20:00:00,29,1,0,0,0,0
6, 13:00:00,68,9,0,0,0,1
5, 09:00:00,59,25,0,0,0,0
6, 22:00:00,30,3,0,0,1,0
3, 18:00:00,29,11,0,0,0,0
0, 19:00:00,25,19,1,0,1,0
3, 19:00:00,32,15,0,0,1,1
0, 00:00:00,19,10,0,0,0,0
0, 15:00:00,33,11,1,0,1,0
2, 20:00:00,35,25,0,0,1,1
5, 02:00:00,26,22,0,0,0,0
0, 17:00:00,26,22,0,1,1,0
6, 05:00:00,26,3,0,0,1,0
1, 01:00:00,27,11,0,0,0,1
3, 01:00:00,21,23,0,0,1,0
2, 18:00:00,18,37,0,0,1,0
3, 18:00:00,38,3,0,0,0,1
2, 22:00:00,36,73,0,0,1,0
5, 13:00:00,25,4,0,0,0,0
5, 17:00:00,38,68,0,1,1,0
3, 10:00:00,26,8,0,0,1,0
6, 22:00:00,24,4,0,0,0,0
5, 09:00:00,45,39,0,0,1,1
2, 23:00:00,30,8,1,0,0,0
3, 05:00:00,37,1,0,0,1,0
5, 04:00:00,30,25,0,1,1,1
4, 20:00:00,23,18,0,0,0,0
3, 18:00:00,27,20,0,0,1,0
2, 20:00:00,38,25,0,0,1,0
0, 21:00:00,33,15,0,0,0,1
4, 03:00:00,18,4,0,0,0,0
4, 13:00:00,18,12,0,1,1,0
2, 09:00:00,25,37,0,0,1,0
6, 06:00:00,34,16,0,0,1,0
3, 14:00:00,27,24,0,0,1,0
1, 22:00:00,41,50,0,0,1,0
3, 13:00:00,45,35,0,0,0,0
5, 16:00:00,22,4,0,0,1,0
5, 22:00:00,20,6,0,0,1,0
1, 22:00:00,29,8,0,0,1,0
3, 20:00:00,49,31,1,0,1,0
1, 21:00:00,26,7,0,0,1,0
5, 15:00:00,36,40,0,0,0,0
1, 10:00:00,24,44,0,0,1,0
1, 17:00:00,22,31,0,0,1,0
0, 02:00:00,50,69,0,0,0,0
1, 19:00:00,39,4,1,0,0,1
2, 01:00:00,46,3,0,0,0,0
0, 08:00:00,29,20,1,0,1,0
4, 22:00:00,30,35,1,1,1,0
5, 04:00:00,44,53,0,0,1,0
5, 14:00:00,20,30,0,0,1,0
1, 01:00:00,23,36,0,0,0,0
4, 20:00:00,43,16,0,0,0,0
3, 10:00:00,38,8,0,0,1,0
0, 20:00:00,38,16,0,0,1,0
3, 02:00:00,21,11,0,0,1,0
0, 02:00:00,21,26,0,0,1,0
4, 01:00:00,24,32,0,0,1,0
6, 02:00:00,47,31,0,1,0,0
1, 07:00:00,58,13,0,1,1,0
1, 12:00:00,43,29,0,0,1,0
5, 08:00:00,39,2,0,0,1,0
1, 01:00:00,50,1,0,0,0,0
4, 10:00:00,37,30,0,0,0,0
0, 20:00:00,32,14,0,0,0,0
2, 17:00:00,28,22,0,1,1,0
1, 04:00:00,17,3,0,0,0,0
6, 04:00:00,22,31,0,0,1,0
1, 02:00:00,26,10,0,0,1,0
6, 19:00:00,26,2,0,0,0,0
0, 19:00:00,22,37,0,0,1,0
2, 01:00:00,20,17,0,0,1,0
6, 00:00:00,33,16,0,0,1,0
0, 17:00:00,43,24,0,0,0,0
5, 11:00:00,28,6,0,0,1,0
4, 06:00:00,20,5,0,0,1,0
1, 19:00:00,35,4,0,0,0,0
4, 16:00:00,35,23,0,1,0,0
6, 11:00:00,38,8,0,0,1,0
1, 21:00:00,22,16,0,0,1,0
0, 03:00:00,19,6,0,0,0,0
4, 19:00:00,35,7,0,0,0,0
6, 15:00:00,22,31,0,0,0,0
0, 21:00:00,22,7,0,1,1,0
2, 14:00:00,30,10,0,0,0,0
6, 02:00:00,40,11,0,0,1,0
5, 04:00:00,31,2,0,1,0,0
3, 17:00:00,25,1,0,0,0,1
3, 05:00:00,20,24,0,0,1,0
5, 04:00:00,36,7,0,0,1,0
0, 05:00:00,19,43,0,1,1,0
2, 22:00:00,28,57,0,0,1,0
4, 16:00:00,31,11,1,0,1,0
3, 21:00:00,24,17,0,0,0,1
4, 05:00:00,45,17,0,0,0,0
6, 13:00:00,21,9,1,0,0,0
1, 14:00:00,37,7,0,0,1,0
6, 02:00:00,33,22,0,0,1,1
6, 03:00:00,29,7,0,0,0,0
3, 01:00:00,29,27,0,0,1,0
0, 09:00:00,27,14,0,1,1,0
3, 00:00:00,31,15,0,0,1,1
0, 18:00:00,45,4,0,0,0,0
2, 14:00:00,32,17,1,0,1,0
5, 21:00:00,32,4,0,0,0,0
5, 04:00:00,40,17,0,0,0,0
